region,year,species,population
Tigray,2012,Females 1 year to < 3 years,337759
Tigray,2013,Females 1 year to < 3 years,378538
Tigray,2014,Females 1 year to < 3 years,393597
Tigray,2015,Females 1 year to < 3 years,396232
Tigray,2016,Females 1 year to < 3 years,403688
Tigray,2017,Females 1 year to < 3 years,451399
Tigray,2018,Females 1 year to < 3 years,404837
Tigray,2019,Females 1 year to < 3 years,452172
Tigray,2020,Females 1 year to < 3 years,452172
Addis Ababa,2003,Females 3 years to < 10 years,19011
Addis Ababa,2004,Females 3 years to < 10 years,5908
Addis Ababa,2005,Females 3 years to < 10 years,7888
Addis Ababa,2006,Females 3 years to < 10 years,8543
Addis Ababa,2007,Females 3 years to < 10 years,0
Addis Ababa,2008,Females 3 years to < 10 years,0
Addis Ababa,2009,Females 3 years to < 10 years,0
Addis Ababa,2010,Females 3 years to < 10 years,0
Addis Ababa,2011,Females 3 years to < 10 years,0
Addis Ababa,2012,Females 3 years to < 10 years,0
Addis Ababa,2013,Females 3 years to < 10 years,0
Addis Ababa,2014,Females 3 years to < 10 years,0
Addis Ababa,2015,Females 3 years to < 10 years,0
Addis Ababa,2016,Females 3 years to < 10 years,0
Addis Ababa,2017,Females 3 years to < 10 years,0
Addis Ababa,2018,Females 3 years to < 10 years,0
Addis Ababa,2019,Females 3 years to < 10 years,0
Addis Ababa,2020,Females 3 years to < 10 years,0
Afar,2003,Females 3 years to < 10 years,173386
Afar,2004,Females 3 years to < 10 years,157791
Afar,2005,Females 3 years to < 10 years,156106
Afar,2006,Females 3 years to < 10 years,227848
Afar,2007,Females 3 years to < 10 years,193637
Afar,2008,Females 3 years to < 10 years,223825
Afar,2009,Females 3 years to < 10 years,289528
Afar,2010,Females 3 years to < 10 years,453549
Afar,2011,Females 3 years to < 10 years,443123
Afar,2012,Females 3 years to < 10 years,585432
Afar,2013,Females 3 years to < 10 years,676247
Afar,2014,Females 3 years to < 10 years,805549
Afar,2015,Females 3 years to < 10 years,753935
Afar,2016,Females 3 years to < 10 years,665915
Afar,2017,Females 3 years to < 10 years,665551
Afar,2018,Females 3 years to < 10 years,975044
Afar,2019,Females 3 years to < 10 years,929394
Afar,2020,Females 3 years to < 10 years,955074
Amhara,2003,Females 3 years to < 10 years,2931923
Amhara,2004,Females 3 years to < 10 years,3092686
Amhara,2005,Females 3 years to < 10 years,3204574
Amhara,2006,Females 3 years to < 10 years,3388032
Amhara,2007,Females 3 years to < 10 years,3695434
Amhara,2008,Females 3 years to < 10 years,4067588
Amhara,2009,Females 3 years to < 10 years,3983081
Amhara,2010,Females 3 years to < 10 years,4210501
Amhara,2011,Females 3 years to < 10 years,4332487
Amhara,2012,Females 3 years to < 10 years,4397253
Amhara,2013,Females 3 years to < 10 years,4528320
Amhara,2014,Females 3 years to < 10 years,4684774
Amhara,2015,Females 3 years to < 10 years,4926375
Amhara,2016,Females 3 years to < 10 years,5037070
Amhara,2017,Females 3 years to < 10 years,5096560
Amhara,2018,Females 3 years to < 10 years,5123352
Amhara,2019,Females 3 years to < 10 years,4911081
Amhara,2020,Females 3 years to < 10 years,5355411
Benishangul Gumz,2003,Females 3 years to < 10 years,100922
Benishangul Gumz,2004,Females 3 years to < 10 years,107600
Benishangul Gumz,2005,Females 3 years to < 10 years,116908
Benishangul Gumz,2006,Females 3 years to < 10 years,109477
Benishangul Gumz,2007,Females 3 years to < 10 years,125876
Benishangul Gumz,2008,Females 3 years to < 10 years,140893
Benishangul Gumz,2009,Females 3 years to < 10 years,136210
Benishangul Gumz,2010,Females 3 years to < 10 years,176511
Benishangul Gumz,2011,Females 3 years to < 10 years,186311
Benishangul Gumz,2012,Females 3 years to < 10 years,203781
Benishangul Gumz,2013,Females 3 years to < 10 years,251165
Benishangul Gumz,2014,Females 3 years to < 10 years,230531
Benishangul Gumz,2015,Females 3 years to < 10 years,257073
Benishangul Gumz,2016,Females 3 years to < 10 years,277459
Benishangul Gumz,2017,Females 3 years to < 10 years,273556
Benishangul Gumz,2018,Females 3 years to < 10 years,230922
Benishangul Gumz,2019,Females 3 years to < 10 years,219061
Benishangul Gumz,2020,Females 3 years to < 10 years,211147
Dire Dawa,2003,Females 3 years to < 10 years,19813
Dire Dawa,2004,Females 3 years to < 10 years,17031
Dire Dawa,2005,Females 3 years to < 10 years,15425
Dire Dawa,2006,Females 3 years to < 10 years,16488
Dire Dawa,2007,Females 3 years to < 10 years,19157
Dire Dawa,2008,Females 3 years to < 10 years,18392
Dire Dawa,2009,Females 3 years to < 10 years,17264
Dire Dawa,2010,Females 3 years to < 10 years,17314
Dire Dawa,2011,Females 3 years to < 10 years,19032
Dire Dawa,2012,Females 3 years to < 10 years,17026
Dire Dawa,2013,Females 3 years to < 10 years,16585
Dire Dawa,2014,Females 3 years to < 10 years,19296
Dire Dawa,2015,Females 3 years to < 10 years,19869
Dire Dawa,2016,Females 3 years to < 10 years,21469
Dire Dawa,2017,Females 3 years to < 10 years,19306
Dire Dawa,2018,Females 3 years to < 10 years,21059
Dire Dawa,2019,Females 3 years to < 10 years,25171
Dire Dawa,2020,Females 3 years to < 10 years,32777
Gambela,2003,Females 3 years to < 10 years,0
Gambela,2004,Females 3 years to < 10 years,0
Gambela,2005,Females 3 years to < 10 years,0
Gambela,2006,Females 3 years to < 10 years,0
Gambela,2007,Females 3 years to < 10 years,85832
Gambela,2008,Females 3 years to < 10 years,54553
Gambela,2009,Females 3 years to < 10 years,78123
Gambela,2010,Females 3 years to < 10 years,101036
Gambela,2011,Females 3 years to < 10 years,106975
Gambela,2012,Females 3 years to < 10 years,125129
Gambela,2013,Females 3 years to < 10 years,130139
Gambela,2014,Females 3 years to < 10 years,131704
Gambela,2015,Females 3 years to < 10 years,123879
Gambela,2016,Females 3 years to < 10 years,138256
Gambela,2017,Females 3 years to < 10 years,142645
Gambela,2018,Females 3 years to < 10 years,132808
Gambela,2019,Females 3 years to < 10 years,149317
Gambela,2020,Females 3 years to < 10 years,104972
Harari,2003,Females 3 years to < 10 years,12561
Harari,2004,Females 3 years to < 10 years,12533
Harari,2005,Females 3 years to < 10 years,15025
Harari,2006,Females 3 years to < 10 years,14749
Harari,2007,Females 3 years to < 10 years,16004
Harari,2008,Females 3 years to < 10 years,17778
Harari,2009,Females 3 years to < 10 years,17624
Harari,2010,Females 3 years to < 10 years,21345
Harari,2011,Females 3 years to < 10 years,19717
Harari,2012,Females 3 years to < 10 years,21845
Harari,2013,Females 3 years to < 10 years,23799
Harari,2014,Females 3 years to < 10 years,24463
Harari,2015,Females 3 years to < 10 years,27339
Harari,2016,Females 3 years to < 10 years,27698
Harari,2017,Females 3 years to < 10 years,26715
Harari,2018,Females 3 years to < 10 years,28495
Harari,2019,Females 3 years to < 10 years,25832
Harari,2020,Females 3 years to < 10 years,35025
Oromoa,2003,Females 3 years to < 10 years,5813910
Oromoa,2004,Females 3 years to < 10 years,6148272
Oromoa,2005,Females 3 years to < 10 years,6502801
Oromoa,2006,Females 3 years to < 10 years,6906849
Oromoa,2007,Females 3 years to < 10 years,7480620
Oromoa,2008,Females 3 years to < 10 years,8012538
Oromoa,2009,Females 3 years to < 10 years,7911361
Oromoa,2010,Females 3 years to < 10 years,8041662
Oromoa,2011,Females 3 years to < 10 years,7957313
Oromoa,2012,Females 3 years to < 10 years,7954647
Oromoa,2013,Females 3 years to < 10 years,7935813
Oromoa,2014,Females 3 years to < 10 years,8081170
Oromoa,2015,Females 3 years to < 10 years,8192377
Oromoa,2016,Females 3 years to < 10 years,8493876
Oromoa,2017,Females 3 years to < 10 years,8589929
Oromoa,2018,Females 3 years to < 10 years,8733555
Oromoa,2019,Females 3 years to < 10 years,8249348
Oromoa,2020,Females 3 years to < 10 years,8487471
SNNPR,2003,Females 3 years to < 10 years,3208159
SNNPR,2004,Females 3 years to < 10 years,3324176
SNNPR,2005,Females 3 years to < 10 years,3398491
SNNPR,2006,Females 3 years to < 10 years,3579548
SNNPR,2007,Females 3 years to < 10 years,4033325
SNNPR,2008,Females 3 years to < 10 years,3886776
SNNPR,2009,Females 3 years to < 10 years,4358111
SNNPR,2010,Females 3 years to < 10 years,4602845
SNNPR,2011,Females 3 years to < 10 years,4377366
SNNPR,2012,Females 3 years to < 10 years,4593487
SNNPR,2013,Females 3 years to < 10 years,4656146
SNNPR,2014,Females 3 years to < 10 years,4615173
SNNPR,2015,Females 3 years to < 10 years,4847614
SNNPR,2016,Females 3 years to < 10 years,4625892
SNNPR,2017,Females 3 years to < 10 years,4518027
SNNPR,2018,Females 3 years to < 10 years,4734380
SNNPR,2019,Females 3 years to < 10 years,4897331
SNNPR,2020,Females 3 years to < 10 years,3999974
Somali,2003,Females 3 years to < 10 years,204488
Somali,2004,Females 3 years to < 10 years,202658
Somali,2005,Females 3 years to < 10 years,219995
Somali,2006,Females 3 years to < 10 years,261141
Somali,2007,Females 3 years to < 10 years,280800
Somali,2008,Females 3 years to < 10 years,275522
Somali,2009,Females 3 years to < 10 years,258263
Somali,2010,Females 3 years to < 10 years,269038
Somali,2011,Females 3 years to < 10 years,223368
Somali,2012,Females 3 years to < 10 years,273334
Somali,2013,Females 3 years to < 10 years,267437
Somali,2014,Females 3 years to < 10 years,286797
Somali,2015,Females 3 years to < 10 years,262554
Somali,2016,Females 3 years to < 10 years,259509
Somali,2017,Females 3 years to < 10 years,251256
Somali,2018,Females 3 years to < 10 years,251256
Somali,2019,Females 3 years to < 10 years,1584688
Somali,2020,Females 3 years to < 10 years,2249790
Tigray,2003,Females 3 years to < 10 years,819246
Tigray,2004,Females 3 years to < 10 years,906160
Tigray,2005,Females 3 years to < 10 years,861656
Tigray,2006,Females 3 years to < 10 years,966318
Tigray,2007,Females 3 years to < 10 years,1036743
Tigray,2008,Females 3 years to < 10 years,1002646
Tigray,2009,Females 3 years to < 10 years,1046405
Tigray,2010,Females 3 years to < 10 years,1188850
Tigray,2011,Females 3 years to < 10 years,1200915
Tigray,2012,Females 3 years to < 10 years,1337327
Tigray,2013,Females 3 years to < 10 years,1367592
Tigray,2014,Females 3 years to < 10 years,1492171
Tigray,2015,Females 3 years to < 10 years,1469486
Tigray,2016,Females 3 years to < 10 years,1553735
Tigray,2017,Females 3 years to < 10 years,1518580
Tigray,2018,Females 3 years to < 10 years,1533920
Tigray,2019,Females 3 years to < 10 years,1538778
Tigray,2020,Females 3 years to < 10 years,1538778
Addis Ababa,2003,Females 10 years and older,933
Addis Ababa,2004,Females 10 years and older,368
Addis Ababa,2005,Females 10 years and older,246
Addis Ababa,2006,Females 10 years and older,475
Addis Ababa,2007,Females 10 years and older,0
Addis Ababa,2008,Females 10 years and older,0
Addis Ababa,2009,Females 10 years and older,0
Addis Ababa,2010,Females 10 years and older,0
Addis Ababa,2011,Females 10 years and older,0
Addis Ababa,2012,Females 10 years and older,0
Addis Ababa,2013,Females 10 years and older,0
Addis Ababa,2014,Females 10 years and older,0
Addis Ababa,2015,Females 10 years and older,0
Addis Ababa,2016,Females 10 years and older,0
Addis Ababa,2017,Females 10 years and older,0
Addis Ababa,2018,Females 10 years and older,0
Addis Ababa,2019,Females 10 years and older,0
Addis Ababa,2020,Females 10 years and older,0
Afar,2003,Females 10 years and older,8130
Afar,2004,Females 10 years and older,4010
Afar,2005,Females 10 years and older,3477
Afar,2006,Females 10 years and older,2829
Afar,2007,Females 10 years and older,1604
Afar,2008,Females 10 years and older,10556
Afar,2009,Females 10 years and older,10174
Afar,2010,Females 10 years and older,0
Afar,2011,Females 10 years and older,5119
Afar,2012,Females 10 years and older,6317
Afar,2013,Females 10 years and older,16790
Afar,2014,Females 10 years and older,18928
Afar,2015,Females 10 years and older,17192
Afar,2016,Females 10 years and older,0
Afar,2017,Females 10 years and older,0
Afar,2018,Females 10 years and older,3334
Afar,2019,Females 10 years and older,50886
Afar,2020,Females 10 years and older,11904
Amhara,2003,Females 10 years and older,217453
Amhara,2004,Females 10 years and older,225726
Amhara,2005,Females 10 years and older,197424
Amhara,2006,Females 10 years and older,202213
Amhara,2007,Females 10 years and older,242736
Amhara,2008,Females 10 years and older,200342
Amhara,2009,Females 10 years and older,260636
Amhara,2010,Females 10 years and older,222494
Amhara,2011,Females 10 years and older,227630
Amhara,2012,Females 10 years and older,205569
Amhara,2013,Females 10 years and older,235600
Amhara,2014,Females 10 years and older,200792
Amhara,2015,Females 10 years and older,173340
Amhara,2016,Females 10 years and older,223332
Amhara,2017,Females 10 years and older,229939
Amhara,2018,Females 10 years and older,200780
Amhara,2019,Females 10 years and older,347628
Amhara,2020,Females 10 years and older,354126
Benishangul Gumz,2003,Females 10 years and older,2476
Benishangul Gumz,2004,Females 10 years and older,2166
Benishangul Gumz,2005,Females 10 years and older,3972
Benishangul Gumz,2006,Females 10 years and older,3990
Benishangul Gumz,2007,Females 10 years and older,4672
Benishangul Gumz,2008,Females 10 years and older,6979
Benishangul Gumz,2009,Females 10 years and older,8602
Benishangul Gumz,2010,Females 10 years and older,9147
Benishangul Gumz,2011,Females 10 years and older,9022
Benishangul Gumz,2012,Females 10 years and older,4172
Benishangul Gumz,2013,Females 10 years and older,5556
Benishangul Gumz,2014,Females 10 years and older,6574
Benishangul Gumz,2015,Females 10 years and older,9124
Benishangul Gumz,2016,Females 10 years and older,9588
Benishangul Gumz,2017,Females 10 years and older,5480
Benishangul Gumz,2018,Females 10 years and older,5662
Benishangul Gumz,2019,Females 10 years and older,14853
Benishangul Gumz,2020,Females 10 years and older,7735
Dire Dawa,2003,Females 10 years and older,413
Dire Dawa,2004,Females 10 years and older,526
Dire Dawa,2005,Females 10 years and older,335
Dire Dawa,2006,Females 10 years and older,368
Dire Dawa,2007,Females 10 years and older,683
Dire Dawa,2008,Females 10 years and older,526
Dire Dawa,2009,Females 10 years and older,648
Dire Dawa,2010,Females 10 years and older,461
Dire Dawa,2011,Females 10 years and older,562
Dire Dawa,2012,Females 10 years and older,620
Dire Dawa,2013,Females 10 years and older,621
Dire Dawa,2014,Females 10 years and older,575
Dire Dawa,2015,Females 10 years and older,994
Dire Dawa,2016,Females 10 years and older,0
Dire Dawa,2017,Females 10 years and older,0
Dire Dawa,2018,Females 10 years and older,0
Dire Dawa,2019,Females 10 years and older,0
Dire Dawa,2020,Females 10 years and older,1158
Gambela,2003,Females 10 years and older,0
Gambela,2004,Females 10 years and older,0
Gambela,2005,Females 10 years and older,0
Gambela,2006,Females 10 years and older,0
Gambela,2007,Females 10 years and older,3834
Gambela,2008,Females 10 years and older,3340
Gambela,2009,Females 10 years and older,6141
Gambela,2010,Females 10 years and older,4668
Gambela,2011,Females 10 years and older,4178
Gambela,2012,Females 10 years and older,3353
Gambela,2013,Females 10 years and older,2202
Gambela,2014,Females 10 years and older,1062
Gambela,2015,Females 10 years and older,1114
Gambela,2016,Females 10 years and older,1961
Gambela,2017,Females 10 years and older,3113
Gambela,2018,Females 10 years and older,4535
Gambela,2019,Females 10 years and older,0
Gambela,2020,Females 10 years and older,6157
Harari,2003,Females 10 years and older,249
Harari,2004,Females 10 years and older,652
Harari,2005,Females 10 years and older,443
Harari,2006,Females 10 years and older,367
Harari,2007,Females 10 years and older,493
Harari,2008,Females 10 years and older,452
Harari,2009,Females 10 years and older,635
Harari,2010,Females 10 years and older,286
Harari,2011,Females 10 years and older,673
Harari,2012,Females 10 years and older,736
Harari,2013,Females 10 years and older,533
Harari,2014,Females 10 years and older,0
Harari,2015,Females 10 years and older,461
Harari,2016,Females 10 years and older,503
Harari,2017,Females 10 years and older,0
Harari,2018,Females 10 years and older,487
Harari,2019,Females 10 years and older,2959
Harari,2020,Females 10 years and older,1190
Oromoa,2003,Females 10 years and older,272250
Oromoa,2004,Females 10 years and older,253373
Oromoa,2005,Females 10 years and older,241625
Oromoa,2006,Females 10 years and older,253715
Oromoa,2007,Females 10 years and older,302442
Oromoa,2008,Females 10 years and older,303802
Oromoa,2009,Females 10 years and older,205239
Oromoa,2010,Females 10 years and older,241975
Oromoa,2011,Females 10 years and older,282481
Oromoa,2012,Females 10 years and older,223595
Oromoa,2013,Females 10 years and older,234276
Oromoa,2014,Females 10 years and older,202254
Oromoa,2015,Females 10 years and older,205410
Oromoa,2016,Females 10 years and older,206149
Oromoa,2017,Females 10 years and older,218112
Oromoa,2018,Females 10 years and older,220930
Oromoa,2019,Females 10 years and older,475774
Oromoa,2020,Females 10 years and older,381458
SNNPR,2003,Females 10 years and older,136035
SNNPR,2004,Females 10 years and older,117988
SNNPR,2005,Females 10 years and older,134511
SNNPR,2006,Females 10 years and older,117678
SNNPR,2007,Females 10 years and older,100194
SNNPR,2008,Females 10 years and older,107024
SNNPR,2009,Females 10 years and older,73008
SNNPR,2010,Females 10 years and older,106699
SNNPR,2011,Females 10 years and older,121434
SNNPR,2012,Females 10 years and older,145985
SNNPR,2013,Females 10 years and older,112412
SNNPR,2014,Females 10 years and older,60941
SNNPR,2015,Females 10 years and older,87920
SNNPR,2016,Females 10 years and older,85431
SNNPR,2017,Females 10 years and older,62060
SNNPR,2018,Females 10 years and older,107959
SNNPR,2019,Females 10 years and older,140136
SNNPR,2020,Females 10 years and older,130474
Somali,2003,Females 10 years and older,2385
Somali,2004,Females 10 years and older,4960
Somali,2005,Females 10 years and older,5059
Somali,2006,Females 10 years and older,4455
Somali,2007,Females 10 years and older,0
Somali,2008,Females 10 years and older,4432
Somali,2009,Females 10 years and older,5318
Somali,2010,Females 10 years and older,6780
Somali,2011,Females 10 years and older,4125
Somali,2012,Females 10 years and older,3793
Somali,2013,Females 10 years and older,1805
Somali,2014,Females 10 years and older,0
Somali,2015,Females 10 years and older,1117
Somali,2016,Females 10 years and older,1965
Somali,2017,Females 10 years and older,0
Somali,2018,Females 10 years and older,0
Somali,2019,Females 10 years and older,27229
Somali,2020,Females 10 years and older,80369
Tigray,2003,Females 10 years and older,47541
Tigray,2004,Females 10 years and older,57107
Tigray,2005,Females 10 years and older,57359
Tigray,2006,Females 10 years and older,58422
Tigray,2007,Females 10 years and older,63015
Tigray,2008,Females 10 years and older,61502
Tigray,2009,Females 10 years and older,50075
Tigray,2010,Females 10 years and older,57320
Tigray,2011,Females 10 years and older,64659
Tigray,2012,Females 10 years and older,75744
Tigray,2013,Females 10 years and older,82587
Tigray,2014,Females 10 years and older,66759
Tigray,2015,Females 10 years and older,89933
Tigray,2016,Females 10 years and older,102942
Tigray,2017,Females 10 years and older,80786
Tigray,2018,Females 10 years and older,67970
Tigray,2019,Females 10 years and older,870017
Tigray,2020,Females 10 years and older,87001
Addis Ababa,2003,Males indigenous breed,37205
Addis Ababa,2004,Males indigenous breed,11769
Addis Ababa,2005,Males indigenous breed,14592
Addis Ababa,2006,Males indigenous breed,16222
Addis Ababa,2007,Males indigenous breed,0
Addis Ababa,2008,Males indigenous breed,0
Addis Ababa,2009,Males indigenous breed,0
Addis Ababa,2010,Males indigenous breed,0
Addis Ababa,2011,Males indigenous breed,0
Addis Ababa,2012,Males indigenous breed,0
Addis Ababa,2013,Males indigenous breed,0
Addis Ababa,2014,Males indigenous breed,0
Addis Ababa,2015,Males indigenous breed,0
Addis Ababa,2016,Males indigenous breed,0
Addis Ababa,2017,Males indigenous breed,0
Addis Ababa,2018,Males indigenous breed,0
Addis Ababa,2019,Males indigenous breed,0
Addis Ababa,2020,Males indigenous breed,0
Afar,2003,Males indigenous breed,77443
Afar,2004,Males indigenous breed,64506
Afar,2005,Males indigenous breed,71596
Afar,2006,Males indigenous breed,86015
Afar,2007,Males indigenous breed,92232
Afar,2008,Males indigenous breed,96093
Afar,2009,Males indigenous breed,107045
Afar,2010,Males indigenous breed,185084
Afar,2011,Males indigenous breed,200631
Afar,2012,Males indigenous breed,261403
Afar,2013,Males indigenous breed,300709
Afar,2014,Males indigenous breed,320115
Afar,2015,Males indigenous breed,317331
Afar,2016,Males indigenous breed,264116
Afar,2017,Males indigenous breed,281007
Afar,2018,Males indigenous breed,381716
Afar,2019,Males indigenous breed,479651
Afar,2020,Males indigenous breed,438546
Amhara,2003,Males indigenous breed,4876887
Amhara,2004,Males indigenous breed,4969891
Amhara,2005,Males indigenous breed,5163958
Amhara,2006,Males indigenous breed,5327128
Amhara,2007,Males indigenous breed,5984611
Amhara,2008,Males indigenous breed,6500619
Amhara,2009,Males indigenous breed,6557268
Amhara,2010,Males indigenous breed,6899348
Amhara,2011,Males indigenous breed,6711965
Amhara,2012,Males indigenous breed,7008807
Amhara,2013,Males indigenous breed,7190135
Amhara,2014,Males indigenous breed,7465509
Amhara,2015,Males indigenous breed,7742562
Amhara,2016,Males indigenous breed,7968988
Amhara,2017,Males indigenous breed,8090027
Amhara,2018,Males indigenous breed,8158772
Amhara,2019,Males indigenous breed,8184250
Amhara,2020,Males indigenous breed,8602336
Benishangul Gumz,2003,Males indigenous breed,124360
Benishangul Gumz,2004,Males indigenous breed,137772
Benishangul Gumz,2005,Males indigenous breed,158059
Benishangul Gumz,2006,Males indigenous breed,146244
Benishangul Gumz,2007,Males indigenous breed,165721
Benishangul Gumz,2008,Males indigenous breed,181058
Benishangul Gumz,2009,Males indigenous breed,189645
Benishangul Gumz,2010,Males indigenous breed,226265
Benishangul Gumz,2011,Males indigenous breed,250072
Benishangul Gumz,2012,Males indigenous breed,255487
Benishangul Gumz,2013,Males indigenous breed,241938
Benishangul Gumz,2014,Males indigenous breed,305642
Benishangul Gumz,2015,Males indigenous breed,329042
Benishangul Gumz,2016,Males indigenous breed,345475
Benishangul Gumz,2017,Males indigenous breed,358285
Benishangul Gumz,2018,Males indigenous breed,258253
Benishangul Gumz,2019,Males indigenous breed,265281
Benishangul Gumz,2020,Males indigenous breed,243326
Dire Dawa,2003,Males indigenous breed,14850
Dire Dawa,2004,Males indigenous breed,12403
Dire Dawa,2005,Males indigenous breed,13655
Dire Dawa,2006,Males indigenous breed,13261
Dire Dawa,2007,Males indigenous breed,18434
Dire Dawa,2008,Males indigenous breed,17402
Dire Dawa,2009,Males indigenous breed,17957
Dire Dawa,2010,Males indigenous breed,15606
Dire Dawa,2011,Males indigenous breed,17632
Dire Dawa,2012,Males indigenous breed,17983
Dire Dawa,2013,Males indigenous breed,16733
Dire Dawa,2014,Males indigenous breed,17699
Dire Dawa,2015,Males indigenous breed,19866
Dire Dawa,2016,Males indigenous breed,18762
Dire Dawa,2017,Males indigenous breed,19020
Dire Dawa,2018,Males indigenous breed,17890
Dire Dawa,2019,Males indigenous breed,23627
Dire Dawa,2020,Males indigenous breed,27498
Gambela,2003,Males indigenous breed,0
Gambela,2004,Males indigenous breed,0
Gambela,2005,Males indigenous breed,0
Gambela,2006,Males indigenous breed,0
Gambela,2007,Males indigenous breed,66885
Gambela,2008,Males indigenous breed,37602
Gambela,2009,Males indigenous breed,72232
Gambela,2010,Males indigenous breed,70791
Gambela,2011,Males indigenous breed,71787
Gambela,2012,Males indigenous breed,80131
Gambela,2013,Males indigenous breed,79508
Gambela,2014,Males indigenous breed,79587
Gambela,2015,Males indigenous breed,83957
Gambela,2016,Males indigenous breed,82547
Gambela,2017,Males indigenous breed,79402
Gambela,2018,Males indigenous breed,84354
Gambela,2019,Males indigenous breed,99610
Gambela,2020,Males indigenous breed,100128
Harari,2003,Males indigenous breed,11872
Harari,2004,Males indigenous breed,11298
Harari,2005,Males indigenous breed,13388
Harari,2006,Males indigenous breed,13431
Harari,2007,Males indigenous breed,14961
Harari,2008,Males indigenous breed,15481
Harari,2009,Males indigenous breed,15644
Harari,2010,Males indigenous breed,18382
Harari,2011,Males indigenous breed,17072
Harari,2012,Males indigenous breed,17880
Harari,2013,Males indigenous breed,20209
Harari,2014,Males indigenous breed,21568
Harari,2015,Males indigenous breed,24328
Harari,2016,Males indigenous breed,23955
Harari,2017,Males indigenous breed,23962
Harari,2018,Males indigenous breed,23126
Harari,2019,Males indigenous breed,24110
Harari,2020,Males indigenous breed,27439
Oromoa,2003,Males indigenous breed,7391057
Oromoa,2004,Males indigenous breed,7536563
Oromoa,2005,Males indigenous breed,8132202
Oromoa,2006,Males indigenous breed,8810704
Oromoa,2007,Males indigenous breed,9472940
Oromoa,2008,Males indigenous breed,9973405
Oromoa,2009,Males indigenous breed,98630
Oromoa,2010,Males indigenous breed,10371287
Oromoa,2011,Males indigenous breed,10024589
Oromoa,2012,Males indigenous breed,10038011
Oromoa,2013,Males indigenous breed,10177016
Oromoa,2014,Males indigenous breed,10233775
Oromoa,2015,Males indigenous breed,10552935
Oromoa,2016,Males indigenous breed,10671671
Oromoa,2017,Males indigenous breed,10842044
Oromoa,2018,Males indigenous breed,10635803
Oromoa,2019,Males indigenous breed,11158185
Oromoa,2020,Males indigenous breed,11418383
SNNPR,2003,Males indigenous breed,2845974
SNNPR,2004,Males indigenous breed,2847045
SNNPR,2005,Males indigenous breed,2906437
SNNPR,2006,Males indigenous breed,3053039
SNNPR,2007,Males indigenous breed,3492386
SNNPR,2008,Males indigenous breed,3333165
SNNPR,2009,Males indigenous breed,3995176
SNNPR,2010,Males indigenous breed,4068590
SNNPR,2011,Males indigenous breed,3809492
SNNPR,2012,Males indigenous breed,4056628
SNNPR,2013,Males indigenous breed,4007963
SNNPR,2014,Males indigenous breed,4138413
SNNPR,2015,Males indigenous breed,3994889
SNNPR,2016,Males indigenous breed,4221672
SNNPR,2017,Males indigenous breed,4819117
SNNPR,2018,Males indigenous breed,4669254
SNNPR,2019,Males indigenous breed,4644465
SNNPR,2020,Males indigenous breed,4595168
Somali,2003,Males indigenous breed,154526
Somali,2004,Males indigenous breed,157649
Somali,2005,Males indigenous breed,174075
Somali,2006,Males indigenous breed,197027
Somali,2007,Males indigenous breed,203680
Somali,2008,Males indigenous breed,199932
Somali,2009,Males indigenous breed,181050
Somali,2010,Males indigenous breed,184316
Somali,2011,Males indigenous breed,163643
Somali,2012,Males indigenous breed,187446
Somali,2013,Males indigenous breed,202049
Somali,2014,Males indigenous breed,203295
Somali,2015,Males indigenous breed,214270
Somali,2016,Males indigenous breed,184458
Somali,2017,Males indigenous breed,211477
Somali,2018,Males indigenous breed,211477
Somali,2019,Males indigenous breed,1091222
Somali,2020,Males indigenous breed,1756966
Tigray,2003,Males indigenous breed,1222517
Tigray,2004,Males indigenous breed,1301373
Tigray,2005,Males indigenous breed,1286206
Tigray,2006,Males indigenous breed,1387720
Tigray,2007,Males indigenous breed,1466940
Tigray,2008,Males indigenous breed,1462052
Tigray,2009,Males indigenous breed,1539986
Tigray,2010,Males indigenous breed,1735415
Tigray,2011,Males indigenous breed,1677837
Tigray,2012,Males indigenous breed,1916540
Tigray,2013,Males indigenous breed,2058298
Tigray,2014,Males indigenous breed,2190024
Tigray,2015,Males indigenous breed,2211141
Tigray,2016,Males indigenous breed,2298404
Tigray,2017,Males indigenous breed,2264816
Tigray,2018,Males indigenous breed,2334182
Tigray,2019,Males indigenous breed,2303087
Tigray,2020,Males indigenous breed,2303087
Addis Ababa,2003,Males hybrid breed,461
Addis Ababa,2004,Males hybrid breed,123
Addis Ababa,2005,Males hybrid breed,180
Addis Ababa,2006,Males hybrid breed,146
Addis Ababa,2007,Males hybrid breed,0
Addis Ababa,2008,Males hybrid breed,0
Addis Ababa,2009,Males hybrid breed,0
Addis Ababa,2010,Males hybrid breed,0
Addis Ababa,2011,Males hybrid breed,0
Addis Ababa,2012,Males hybrid breed,0
Addis Ababa,2013,Males hybrid breed,0
Addis Ababa,2014,Males hybrid breed,0
Addis Ababa,2015,Males hybrid breed,0
Addis Ababa,2016,Males hybrid breed,0
Addis Ababa,2017,Males hybrid breed,0
Addis Ababa,2018,Males hybrid breed,0
Addis Ababa,2019,Males hybrid breed,0
Addis Ababa,2020,Males hybrid breed,0
Afar,2003,Males hybrid breed,0
Afar,2004,Males hybrid breed,0
Afar,2005,Males hybrid breed,0
Afar,2006,Males hybrid breed,0
Afar,2007,Males hybrid breed,0
Afar,2008,Males hybrid breed,0
