year,region,species,population
2016,Oromoa,Total Cockerels Indigenous,1029951
2017,Oromoa,Total Cockerels Indigenous,984884
2018,Oromoa,Total Cockerels Indigenous,996938
2019,Oromoa,Total Cockerels Indigenous,596741
2020,Oromoa,Total Cockerels Indigenous,690151
2003,SNNPR,Total Cockerels Indigenous,0
2004,SNNPR,Total Cockerels Indigenous,328294
2005,SNNPR,Total Cockerels Indigenous,292779
2006,SNNPR,Total Cockerels Indigenous,285881
2007,SNNPR,Total Cockerels Indigenous,365140
2008,SNNPR,Total Cockerels Indigenous,282848
2009,SNNPR,Total Cockerels Indigenous,457699
2010,SNNPR,Total Cockerels Indigenous,597115
2011,SNNPR,Total Cockerels Indigenous,310412
2012,SNNPR,Total Cockerels Indigenous,424707
2013,SNNPR,Total Cockerels Indigenous,502957
2014,SNNPR,Total Cockerels Indigenous,585554
2015,SNNPR,Total Cockerels Indigenous,498257
2016,SNNPR,Total Cockerels Indigenous,516374
2017,SNNPR,Total Cockerels Indigenous,543596
2018,SNNPR,Total Cockerels Indigenous,465392
2019,SNNPR,Total Cockerels Indigenous,242994
2020,SNNPR,Total Cockerels Indigenous,248756
2003,Somali,Total Cockerels Indigenous,0
2004,Somali,Total Cockerels Indigenous,9182
2005,Somali,Total Cockerels Indigenous,4352
2006,Somali,Total Cockerels Indigenous,6252
2007,Somali,Total Cockerels Indigenous,10046
2008,Somali,Total Cockerels Indigenous,6925
2009,Somali,Total Cockerels Indigenous,5150
2010,Somali,Total Cockerels Indigenous,11396
2011,Somali,Total Cockerels Indigenous,8396
2012,Somali,Total Cockerels Indigenous,10678
2013,Somali,Total Cockerels Indigenous,10471
2014,Somali,Total Cockerels Indigenous,5706
2015,Somali,Total Cockerels Indigenous,13080
2016,Somali,Total Cockerels Indigenous,11596
2017,Somali,Total Cockerels Indigenous,21874
2018,Somali,Total Cockerels Indigenous,21874
2019,Somali,Total Cockerels Indigenous,18418
2020,Somali,Total Cockerels Indigenous,26517
2003,Tigray,Total Cockerels Indigenous,0
2004,Tigray,Total Cockerels Indigenous,228212
2005,Tigray,Total Cockerels Indigenous,186291
2006,Tigray,Total Cockerels Indigenous,232822
2007,Tigray,Total Cockerels Indigenous,309990
2008,Tigray,Total Cockerels Indigenous,234096
2009,Tigray,Total Cockerels Indigenous,314648
2010,Tigray,Total Cockerels Indigenous,278190
2011,Tigray,Total Cockerels Indigenous,339590
2012,Tigray,Total Cockerels Indigenous,318299
2013,Tigray,Total Cockerels Indigenous,370460
2014,Tigray,Total Cockerels Indigenous,425641
2015,Tigray,Total Cockerels Indigenous,323856
2016,Tigray,Total Cockerels Indigenous,302297
2017,Tigray,Total Cockerels Indigenous,339340
2018,Tigray,Total Cockerels Indigenous,290894
2019,Tigray,Total Cockerels Indigenous,260463
2020,Tigray,Total Cockerels Indigenous,260463
2003,Addis Ababa,Total Pullets Indigenous,0
2004,Addis Ababa,Total Pullets Indigenous,2124
2005,Addis Ababa,Total Pullets Indigenous,1181
2006,Addis Ababa,Total Pullets Indigenous,1345
2007,Addis Ababa,Total Pullets Indigenous,0
2008,Addis Ababa,Total Pullets Indigenous,0
2009,Addis Ababa,Total Pullets Indigenous,0
2010,Addis Ababa,Total Pullets Indigenous,0
2011,Addis Ababa,Total Pullets Indigenous,0
2012,Addis Ababa,Total Pullets Indigenous,0
2013,Addis Ababa,Total Pullets Indigenous,0
2014,Addis Ababa,Total Pullets Indigenous,0
2015,Addis Ababa,Total Pullets Indigenous,0
2016,Addis Ababa,Total Pullets Indigenous,0
2017,Addis Ababa,Total Pullets Indigenous,0
2018,Addis Ababa,Total Pullets Indigenous,0
2010,Addis Ababa,Total Pullets Indigenous,0
2020,Addis Ababa,Total Pullets Indigenous,0
2003,Afar,Total Pullets Indigenous,0
2004,Afar,Total Pullets Indigenous,4231
2005,Afar,Total Pullets Indigenous,3899
2006,Afar,Total Pullets Indigenous,3733
2007,Afar,Total Pullets Indigenous,6070
2008,Afar,Total Pullets Indigenous,2152
2009,Afar,Total Pullets Indigenous,2001
2010,Afar,Total Pullets Indigenous,7568
2011,Afar,Total Pullets Indigenous,5856
2012,Afar,Total Pullets Indigenous,6679
2013,Afar,Total Pullets Indigenous,12429
2014,Afar,Total Pullets Indigenous,13039
2015,Afar,Total Pullets Indigenous,14282
2016,Afar,Total Pullets Indigenous,23543
2017,Afar,Total Pullets Indigenous,16146
2018,Afar,Total Pullets Indigenous,20989
2019,Afar,Total Pullets Indigenous,7253
2020,Afar,Total Pullets Indigenous,7537
2003,Amhara,Total Pullets Indigenous,0
2004,Amhara,Total Pullets Indigenous,774230
2005,Amhara,Total Pullets Indigenous,812465
2006,Amhara,Total Pullets Indigenous,826988
2007,Amhara,Total Pullets Indigenous,1108040
2008,Amhara,Total Pullets Indigenous,1078702
2009,Amhara,Total Pullets Indigenous,1105108
2010,Amhara,Total Pullets Indigenous,1363373
2011,Amhara,Total Pullets Indigenous,1257240
2012,Amhara,Total Pullets Indigenous,1373731
2013,Amhara,Total Pullets Indigenous,1343127
2014,Amhara,Total Pullets Indigenous,1785346
2015,Amhara,Total Pullets Indigenous,1873609
2016,Amhara,Total Pullets Indigenous,1898352
2017,Amhara,Total Pullets Indigenous,1702942
2018,Amhara,Total Pullets Indigenous,1966334
2019,Amhara,Total Pullets Indigenous,1652949
2020,Amhara,Total Pullets Indigenous,1850779
2003,Benishangul Gumz,Total Pullets Indigenous,0
2004,Benishangul Gumz,Total Pullets Indigenous,77945
2005,Benishangul Gumz,Total Pullets Indigenous,62306
2006,Benishangul Gumz,Total Pullets Indigenous,84662
2007,Benishangul Gumz,Total Pullets Indigenous,71525
2008,Benishangul Gumz,Total Pullets Indigenous,78525
2009,Benishangul Gumz,Total Pullets Indigenous,101868
2010,Benishangul Gumz,Total Pullets Indigenous,132614
2011,Benishangul Gumz,Total Pullets Indigenous,135671
2012,Benishangul Gumz,Total Pullets Indigenous,157534
2013,Benishangul Gumz,Total Pullets Indigenous,122898
2014,Benishangul Gumz,Total Pullets Indigenous,154249
2015,Benishangul Gumz,Total Pullets Indigenous,170633
2016,Benishangul Gumz,Total Pullets Indigenous,158558
2017,Benishangul Gumz,Total Pullets Indigenous,206908
2018,Benishangul Gumz,Total Pullets Indigenous,202339
2019,Benishangul Gumz,Total Pullets Indigenous,120024
2020,Benishangul Gumz,Total Pullets Indigenous,141331
2003,Dire Dawa,Total Pullets Indigenous,0
2004,Dire Dawa,Total Pullets Indigenous,4641
2005,Dire Dawa,Total Pullets Indigenous,4665
2006,Dire Dawa,Total Pullets Indigenous,3864
2007,Dire Dawa,Total Pullets Indigenous,4706
2008,Dire Dawa,Total Pullets Indigenous,4263
2009,Dire Dawa,Total Pullets Indigenous,3912
2010,Dire Dawa,Total Pullets Indigenous,6954
2011,Dire Dawa,Total Pullets Indigenous,7605
2012,Dire Dawa,Total Pullets Indigenous,8365
2013,Dire Dawa,Total Pullets Indigenous,7805
2014,Dire Dawa,Total Pullets Indigenous,8200
2015,Dire Dawa,Total Pullets Indigenous,8655
2016,Dire Dawa,Total Pullets Indigenous,11671
2017,Dire Dawa,Total Pullets Indigenous,12565
2018,Dire Dawa,Total Pullets Indigenous,10485
2019,Dire Dawa,Total Pullets Indigenous,11855
2020,Dire Dawa,Total Pullets Indigenous,10915
2003,Gambela,Total Pullets Indigenous,0
2004,Gambela,Total Pullets Indigenous,0
2005,Gambela,Total Pullets Indigenous,0
2006,Gambela,Total Pullets Indigenous,0
2007,Gambela,Total Pullets Indigenous,22758
2008,Gambela,Total Pullets Indigenous,26260
2009,Gambela,Total Pullets Indigenous,27511
2010,Gambela,Total Pullets Indigenous,45301
2011,Gambela,Total Pullets Indigenous,32972
2012,Gambela,Total Pullets Indigenous,33750
2013,Gambela,Total Pullets Indigenous,42458
2014,Gambela,Total Pullets Indigenous,39851
2015,Gambela,Total Pullets Indigenous,43600
2016,Gambela,Total Pullets Indigenous,48248
2017,Gambela,Total Pullets Indigenous,33371
2018,Gambela,Total Pullets Indigenous,56925
2019,Gambela,Total Pullets Indigenous,24381
2020,Gambela,Total Pullets Indigenous,40655
2003,Harari,Total Pullets Indigenous,0
2004,Harari,Total Pullets Indigenous,3988
2005,Harari,Total Pullets Indigenous,2841
2006,Harari,Total Pullets Indigenous,3854
2007,Harari,Total Pullets Indigenous,3582
2008,Harari,Total Pullets Indigenous,2596
2009,Harari,Total Pullets Indigenous,4724
2010,Harari,Total Pullets Indigenous,6079
2011,Harari,Total Pullets Indigenous,4772
2012,Harari,Total Pullets Indigenous,6463
2013,Harari,Total Pullets Indigenous,7638
2014,Harari,Total Pullets Indigenous,7555
2015,Harari,Total Pullets Indigenous,7655
2016,Harari,Total Pullets Indigenous,10796
2017,Harari,Total Pullets Indigenous,9604
2018,Harari,Total Pullets Indigenous,5568
2019,Harari,Total Pullets Indigenous,9990
2020,Harari,Total Pullets Indigenous,15672
2003,Oromoa,Total Pullets Indigenous,0
2004,Oromoa,Total Pullets Indigenous,1115644
2005,Oromoa,Total Pullets Indigenous,970422
2006,Oromoa,Total Pullets Indigenous,1073124
2007,Oromoa,Total Pullets Indigenous,1258180
2008,Oromoa,Total Pullets Indigenous,1052250
2009,Oromoa,Total Pullets Indigenous,1404176
2010,Oromoa,Total Pullets Indigenous,1638447
2011,Oromoa,Total Pullets Indigenous,1382283
2012,Oromoa,Total Pullets Indigenous,1742161
2013,Oromoa,Total Pullets Indigenous,1766420
2014,Oromoa,Total Pullets Indigenous,1910492
2015,Oromoa,Total Pullets Indigenous,1814708
2016,Oromoa,Total Pullets Indigenous,1783642
2017,Oromoa,Total Pullets Indigenous,1702622
2018,Oromoa,Total Pullets Indigenous,1652975
2019,Oromoa,Total Pullets Indigenous,1146574
2020,Oromoa,Total Pullets Indigenous,1462055
2003,SNNPR,Total Pullets Indigenous,0
2004,SNNPR,Total Pullets Indigenous,640990
2005,SNNPR,Total Pullets Indigenous,582187
2006,SNNPR,Total Pullets Indigenous,567684
2007,SNNPR,Total Pullets Indigenous,677098
2008,SNNPR,Total Pullets Indigenous,508872
2009,SNNPR,Total Pullets Indigenous,858226
2010,SNNPR,Total Pullets Indigenous,1088378
2011,SNNPR,Total Pullets Indigenous,577487
2012,SNNPR,Total Pullets Indigenous,797890
2013,SNNPR,Total Pullets Indigenous,928625
2014,SNNPR,Total Pullets Indigenous,1007388
2015,SNNPR,Total Pullets Indigenous,900121
2016,SNNPR,Total Pullets Indigenous,939191
2017,SNNPR,Total Pullets Indigenous,942651
2018,SNNPR,Total Pullets Indigenous,836092
2019,SNNPR,Total Pullets Indigenous,544229
2020,SNNPR,Total Pullets Indigenous,532827
2003,Somali,Total Pullets Indigenous,0
2004,Somali,Total Pullets Indigenous,18136
2005,Somali,Total Pullets Indigenous,7489
2006,Somali,Total Pullets Indigenous,11342
2007,Somali,Total Pullets Indigenous,8815
2008,Somali,Total Pullets Indigenous,8459
2009,Somali,Total Pullets Indigenous,4936
2010,Somali,Total Pullets Indigenous,9521
2011,Somali,Total Pullets Indigenous,11783
2012,Somali,Total Pullets Indigenous,14133
2013,Somali,Total Pullets Indigenous,17606
2014,Somali,Total Pullets Indigenous,14288
2015,Somali,Total Pullets Indigenous,17682
2016,Somali,Total Pullets Indigenous,17777
2017,Somali,Total Pullets Indigenous,0
2018,Somali,Total Pullets Indigenous,0
2019,Somali,Total Pullets Indigenous,20057
2020,Somali,Total Pullets Indigenous,37870
2003,Tigray,Total Pullets Indigenous,0
2004,Tigray,Total Pullets Indigenous,346909
2005,Tigray,Total Pullets Indigenous,296581
2006,Tigray,Total Pullets Indigenous,353087
2007,Tigray,Total Pullets Indigenous,468746
2008,Tigray,Total Pullets Indigenous,378605
2009,Tigray,Total Pullets Indigenous,448203
2010,Tigray,Total Pullets Indigenous,429773
2011,Tigray,Total Pullets Indigenous,555040
2012,Tigray,Total Pullets Indigenous,563279
2013,Tigray,Total Pullets Indigenous,610331
2014,Tigray,Total Pullets Indigenous,650732
2015,Tigray,Total Pullets Indigenous,607996
2016,Tigray,Total Pullets Indigenous,524645
2017,Tigray,Total Pullets Indigenous,567449
2018,Tigray,Total Pullets Indigenous,481035
2019,Tigray,Total Pullets Indigenous,470578
2020,Tigray,Total Pullets Indigenous,470578
2003,Addis Ababa,Total Nonlaying Hens Indigenous,0
2004,Addis Ababa,Total Nonlaying Hens Indigenous,254
2005,Addis Ababa,Total Nonlaying Hens Indigenous,653
2006,Addis Ababa,Total Nonlaying Hens Indigenous,214
2007,Addis Ababa,Total Nonlaying Hens Indigenous,0
2008,Addis Ababa,Total Nonlaying Hens Indigenous,0
2009,Addis Ababa,Total Nonlaying Hens Indigenous,0
2010,Addis Ababa,Total Nonlaying Hens Indigenous,0
2011,Addis Ababa,Total Nonlaying Hens Indigenous,0
2012,Addis Ababa,Total Nonlaying Hens Indigenous,0
2013,Addis Ababa,Total Nonlaying Hens Indigenous,0
2014,Addis Ababa,Total Nonlaying Hens Indigenous,0
2015,Addis Ababa,Total Nonlaying Hens Indigenous,0
2016,Addis Ababa,Total Nonlaying Hens Indigenous,0
2017,Addis Ababa,Total Nonlaying Hens Indigenous,0
2018,Addis Ababa,Total Nonlaying Hens Indigenous,0
2010,Addis Ababa,Total Nonlaying Hens Indigenous,0
2020,Addis Ababa,Total Nonlaying Hens Indigenous,0
2003,Afar,Total Nonlaying Hens Indigenous,0
2004,Afar,Total Nonlaying Hens Indigenous,1286
2005,Afar,Total Nonlaying Hens Indigenous,3658
2006,Afar,Total Nonlaying Hens Indigenous,2116
2007,Afar,Total Nonlaying Hens Indigenous,6544
2008,Afar,Total Nonlaying Hens Indigenous,1140
2009,Afar,Total Nonlaying Hens Indigenous,3030
2010,Afar,Total Nonlaying Hens Indigenous,7084
2011,Afar,Total Nonlaying Hens Indigenous,3769
2012,Afar,Total Nonlaying Hens Indigenous,4526
2013,Afar,Total Nonlaying Hens Indigenous,8880
2014,Afar,Total Nonlaying Hens Indigenous,13046
2015,Afar,Total Nonlaying Hens Indigenous,11809
2016,Afar,Total Nonlaying Hens Indigenous,13596
2017,Afar,Total Nonlaying Hens Indigenous,0
2018,Afar,Total Nonlaying Hens Indigenous,8200
2019,Afar,Total Nonlaying Hens Indigenous,5766
2020,Afar,Total Nonlaying Hens Indigenous,9658
2003,Amhara,Total Nonlaying Hens Indigenous,0
2004,Amhara,Total Nonlaying Hens Indigenous,297709
2005,Amhara,Total Nonlaying Hens Indigenous,314728
2006,Amhara,Total Nonlaying Hens Indigenous,297580
2007,Amhara,Total Nonlaying Hens Indigenous,385368
2008,Amhara,Total Nonlaying Hens Indigenous,469717
2009,Amhara,Total Nonlaying Hens Indigenous,372301
2010,Amhara,Total Nonlaying Hens Indigenous,460351
2011,Amhara,Total Nonlaying Hens Indigenous,424558
2012,Amhara,Total Nonlaying Hens Indigenous,342440
2013,Amhara,Total Nonlaying Hens Indigenous,376733
2014,Amhara,Total Nonlaying Hens Indigenous,383380
2015,Amhara,Total Nonlaying Hens Indigenous,338150
2016,Amhara,Total Nonlaying Hens Indigenous,354858
2017,Amhara,Total Nonlaying Hens Indigenous,292415
2018,Amhara,Total Nonlaying Hens Indigenous,487827
2019,Amhara,Total Nonlaying Hens Indigenous,604412
2020,Amhara,Total Nonlaying Hens Indigenous,690367
2003,Benishangul Gumz,Total Nonlaying Hens Indigenous,0
2004,Benishangul Gumz,Total Nonlaying Hens Indigenous,19322
2005,Benishangul Gumz,Total Nonlaying Hens Indigenous,12819
2006,Benishangul Gumz,Total Nonlaying Hens Indigenous,17297
2007,Benishangul Gumz,Total Nonlaying Hens Indigenous,18244
2008,Benishangul Gumz,Total Nonlaying Hens Indigenous,16081
2009,Benishangul Gumz,Total Nonlaying Hens Indigenous,13617
2010,Benishangul Gumz,Total Nonlaying Hens Indigenous,26318
2011,Benishangul Gumz,Total Nonlaying Hens Indigenous,25103
2012,Benishangul Gumz,Total Nonlaying Hens Indigenous,25123
2013,Benishangul Gumz,Total Nonlaying Hens Indigenous,24620
2014,Benishangul Gumz,Total Nonlaying Hens Indigenous,42022
2015,Benishangul Gumz,Total Nonlaying Hens Indigenous,19177
2016,Benishangul Gumz,Total Nonlaying Hens Indigenous,12081
2017,Benishangul Gumz,Total Nonlaying Hens Indigenous,16879
2018,Benishangul Gumz,Total Nonlaying Hens Indigenous,30141
2019,Benishangul Gumz,Total Nonlaying Hens Indigenous,32423
2020,Benishangul Gumz,Total Nonlaying Hens Indigenous,41330
2003,Dire Dawa,Total Nonlaying Hens Indigenous,0
2004,Dire Dawa,Total Nonlaying Hens Indigenous,2106
2005,Dire Dawa,Total Nonlaying Hens Indigenous,2061
2006,Dire Dawa,Total Nonlaying Hens Indigenous,1577
2007,Dire Dawa,Total Nonlaying Hens Indigenous,1648
2008,Dire Dawa,Total Nonlaying Hens Indigenous,2737
2009,Dire Dawa,Total Nonlaying Hens Indigenous,1622
2010,Dire Dawa,Total Nonlaying Hens Indigenous,1031
2011,Dire Dawa,Total Nonlaying Hens Indigenous,1434
2012,Dire Dawa,Total Nonlaying Hens Indigenous,2255
2013,Dire Dawa,Total Nonlaying Hens Indigenous,2218
2014,Dire Dawa,Total Nonlaying Hens Indigenous,1933
2015,Dire Dawa,Total Nonlaying Hens Indigenous,2718
2016,Dire Dawa,Total Nonlaying Hens Indigenous,1475
2017,Dire Dawa,Total Nonlaying Hens Indigenous,0
2018,Dire Dawa,Total Nonlaying Hens Indigenous,1198
2019,Dire Dawa,Total Nonlaying Hens Indigenous,5527
2020,Dire Dawa,Total Nonlaying Hens Indigenous,6156
2003,Gambela,Total Nonlaying Hens Indigenous,0
2004,Gambela,Total Nonlaying Hens Indigenous,0
2005,Gambela,Total Nonlaying Hens Indigenous,0
2006,Gambela,Total Nonlaying Hens Indigenous,0
2007,Gambela,Total Nonlaying Hens Indigenous,6364
2008,Gambela,Total Nonlaying Hens Indigenous,9204
2009,Gambela,Total Nonlaying Hens Indigenous,11217
2010,Gambela,Total Nonlaying Hens Indigenous,9359
2011,Gambela,Total Nonlaying Hens Indigenous,13060
2012,Gambela,Total Nonlaying Hens Indigenous,10609
2013,Gambela,Total Nonlaying Hens Indigenous,6756
2014,Gambela,Total Nonlaying Hens Indigenous,5025
2015,Gambela,Total Nonlaying Hens Indigenous,5690
2016,Gambela,Total Nonlaying Hens Indigenous,7503
2017,Gambela,Total Nonlaying Hens Indigenous,8413
2018,Gambela,Total Nonlaying Hens Indigenous,21782
2019,Gambela,Total Nonlaying Hens Indigenous,1372
2020,Gambela,Total Nonlaying Hens Indigenous,18997
2003,Harari,Total Nonlaying Hens Indigenous,0
2004,Harari,Total Nonlaying Hens Indigenous,1517
2005,Harari,Total Nonlaying Hens Indigenous,783
2006,Harari,Total Nonlaying Hens Indigenous,903
2007,Harari,Total Nonlaying Hens Indigenous,1560
2008,Harari,Total Nonlaying Hens Indigenous,2227
2009,Harari,Total Nonlaying Hens Indigenous,1813
2010,Harari,Total Nonlaying Hens Indigenous,1628
2011,Harari,Total Nonlaying Hens Indigenous,1248
2012,Harari,Total Nonlaying Hens Indigenous,1392
2013,Harari,Total Nonlaying Hens Indigenous,1344
2014,Harari,Total Nonlaying Hens Indigenous,2578
2015,Harari,Total Nonlaying Hens Indigenous,2773
2016,Harari,Total Nonlaying Hens Indigenous,2353
2017,Harari,Total Nonlaying Hens Indigenous,2180
2018,Harari,Total Nonlaying Hens Indigenous,4498
2019,Harari,Total Nonlaying Hens Indigenous,5299
2020,Harari,Total Nonlaying Hens Indigenous,9549
2003,Oromoa,Total Nonlaying Hens Indigenous,0
2004,Oromoa,Total Nonlaying Hens Indigenous,420488
2005,Oromoa,Total Nonlaying Hens Indigenous,464176
2006,Oromoa,Total Nonlaying Hens Indigenous,510233
2007,Oromoa,Total Nonlaying Hens Indigenous,613083
2008,Oromoa,Total Nonlaying Hens Indigenous,558111
2009,Oromoa,Total Nonlaying Hens Indigenous,627538
2010,Oromoa,Total Nonlaying Hens Indigenous,696516
2011,Oromoa,Total Nonlaying Hens Indigenous,517922
2012,Oromoa,Total Nonlaying Hens Indigenous,597545
2013,Oromoa,Total Nonlaying Hens Indigenous,614111
2014,Oromoa,Total Nonlaying Hens Indigenous,594801
2015,Oromoa,Total Nonlaying Hens Indigenous,575800
2016,Oromoa,Total Nonlaying Hens Indigenous,671259
2017,Oromoa,Total Nonlaying Hens Indigenous,581689
2018,Oromoa,Total Nonlaying Hens Indigenous,579438
2019,Oromoa,Total Nonlaying Hens Indigenous,682895
2020,Oromoa,Total Nonlaying Hens Indigenous,715223
2003,SNNPR,Total Nonlaying Hens Indigenous,0
2004,SNNPR,Total Nonlaying Hens Indigenous,199994
2005,SNNPR,Total Nonlaying Hens Indigenous,134475
2006,SNNPR,Total Nonlaying Hens Indigenous,163034
2007,SNNPR,Total Nonlaying Hens Indigenous,236358
2008,SNNPR,Total Nonlaying Hens Indigenous,203451
2009,SNNPR,Total Nonlaying Hens Indigenous,171834
2010,SNNPR,Total Nonlaying Hens Indigenous,354784
2011,SNNPR,Total Nonlaying Hens Indigenous,180158
2012,SNNPR,Total Nonlaying Hens Indigenous,216410
2013,SNNPR,Total Nonlaying Hens Indigenous,226249
2014,SNNPR,Total Nonlaying Hens Indigenous,301092
2015,SNNPR,Total Nonlaying Hens Indigenous,293426
2016,SNNPR,Total Nonlaying Hens Indigenous,342644
2017,SNNPR,Total Nonlaying Hens Indigenous,304306
2018,SNNPR,Total Nonlaying Hens Indigenous,204983
2019,SNNPR,Total Nonlaying Hens Indigenous,265093
2020,SNNPR,Total Nonlaying Hens Indigenous,270503
2003,Somali,Total Nonlaying Hens Indigenous,0
2004,Somali,Total Nonlaying Hens Indigenous,8033
2005,Somali,Total Nonlaying Hens Indigenous,4618
2006,Somali,Total Nonlaying Hens Indigenous,4431
2007,Somali,Total Nonlaying Hens Indigenous,8728
2008,Somali,Total Nonlaying Hens Indigenous,2004
2009,Somali,Total Nonlaying Hens Indigenous,3364
2010,Somali,Total Nonlaying Hens Indigenous,7378
2011,Somali,Total Nonlaying Hens Indigenous,5319
2012,Somali,Total Nonlaying Hens Indigenous,10932
2013,Somali,Total Nonlaying Hens Indigenous,8329
2014,Somali,Total Nonlaying Hens Indigenous,5790
2015,Somali,Total Nonlaying Hens Indigenous,14962
2016,Somali,Total Nonlaying Hens Indigenous,13450
2017,Somali,Total Nonlaying Hens Indigenous,12687
2018,Somali,Total Nonlaying Hens Indigenous,12687
2019,Somali,Total Nonlaying Hens Indigenous,57223
2020,Somali,Total Nonlaying Hens Indigenous,32176
2003,Tigray,Total Nonlaying Hens Indigenous,0
2004,Tigray,Total Nonlaying Hens Indigenous,198838
2005,Tigray,Total Nonlaying Hens Indigenous,128813
2006,Tigray,Total Nonlaying Hens Indigenous,125660
2007,Tigray,Total Nonlaying Hens Indigenous,205336
2008,Tigray,Total Nonlaying Hens Indigenous,197850
2009,Tigray,Total Nonlaying Hens Indigenous,211632
2010,Tigray,Total Nonlaying Hens Indigenous,215674
2011,Tigray,Total Nonlaying Hens Indigenous,167660
2012,Tigray,Total Nonlaying Hens Indigenous,270688
2013,Tigray,Total Nonlaying Hens Indigenous,220567
2014,Tigray,Total Nonlaying Hens Indigenous,252700
2015,Tigray,Total Nonlaying Hens Indigenous,193056
2016,Tigray,Total Nonlaying Hens Indigenous,87220
2017,Tigray,Total Nonlaying Hens Indigenous,128241
2018,Tigray,Total Nonlaying Hens Indigenous,193183
2019,Tigray,Total Nonlaying Hens Indigenous,249513
2020,Tigray,Total Nonlaying Hens Indigenous,249513
2003,Addis Ababa,Total Chicks Indigenous,0
2004,Addis Ababa,Total Chicks Indigenous,4876
2005,Addis Ababa,Total Chicks Indigenous,5518
2006,Addis Ababa,Total Chicks Indigenous,4202
2007,Addis Ababa,Total Chicks Indigenous,0
2008,Addis Ababa,Total Chicks Indigenous,0
2009,Addis Ababa,Total Chicks Indigenous,0
2010,Addis Ababa,Total Chicks Indigenous,0
2011,Addis Ababa,Total Chicks Indigenous,0
2012,Addis Ababa,Total Chicks Indigenous,0
2013,Addis Ababa,Total Chicks Indigenous,0
2014,Addis Ababa,Total Chicks Indigenous,0
2015,Addis Ababa,Total Chicks Indigenous,0
2016,Addis Ababa,Total Chicks Indigenous,0
2017,Addis Ababa,Total Chicks Indigenous,0
2018,Addis Ababa,Total Chicks Indigenous,0
2010,Addis Ababa,Total Chicks Indigenous,0
2020,Addis Ababa,Total Chicks Indigenous,0
2003,Afar,Total Chicks Indigenous,0
2004,Afar,Total Chicks Indigenous,15266
2005,Afar,Total Chicks Indigenous,19088
2006,Afar,Total Chicks Indigenous,21162
2007,Afar,Total Chicks Indigenous,13928
2008,Afar,Total Chicks Indigenous,10911
2009,Afar,Total Chicks Indigenous,9960
2010,Afar,Total Chicks Indigenous,26312
2011,Afar,Total Chicks Indigenous,28036
2012,Afar,Total Chicks Indigenous,14211
2013,Afar,Total Chicks Indigenous,43572
2014,Afar,Total Chicks Indigenous,46131
2015,Afar,Total Chicks Indigenous,37532
2016,Afar,Total Chicks Indigenous,89961
2017,Afar,Total Chicks Indigenous,93777
2018,Afar,Total Chicks Indigenous,65421
2019,Afar,Total Chicks Indigenous,29413
2020,Afar,Total Chicks Indigenous,31459
2003,Amhara,Total Chicks Indigenous,0
2004,Amhara,Total Chicks Indigenous,3177233
2005,Amhara,Total Chicks Indigenous,3546763
2006,Amhara,Total Chicks Indigenous,4294148
2007,Amhara,Total Chicks Indigenous,4711291
2008,Amhara,Total Chicks Indigenous,4983744
2009,Amhara,Total Chicks Indigenous,4772361
2010,Amhara,Total Chicks Indigenous,5357134
2011,Amhara,Total Chicks Indigenous,5863873
2012,Amhara,Total Chicks Indigenous,5794388
2013,Amhara,Total Chicks Indigenous,5856640
2014,Amhara,Total Chicks Indigenous,7429103
2015,Amhara,Total Chicks Indigenous,8728605
2016,Amhara,Total Chicks Indigenous,8202337
2017,Amhara,Total Chicks Indigenous,6619630
2018,Amhara,Total Chicks Indigenous,8081423
2019,Amhara,Total Chicks Indigenous,5720821
2020,Amhara,Total Chicks Indigenous,6500655
2003,Benishangul Gumz,Total Chicks Indigenous,0
2004,Benishangul Gumz,Total Chicks Indigenous,361018
2005,Benishangul Gumz,Total Chicks Indigenous,308532
2006,Benishangul Gumz,Total Chicks Indigenous,361490
2007,Benishangul Gumz,Total Chicks Indigenous,339108
2008,Benishangul Gumz,Total Chicks Indigenous,403760
2009,Benishangul Gumz,Total Chicks Indigenous,393742
2010,Benishangul Gumz,Total Chicks Indigenous,547747
2011,Benishangul Gumz,Total Chicks Indigenous,543600
2012,Benishangul Gumz,Total Chicks Indigenous,643564
2013,Benishangul Gumz,Total Chicks Indigenous,489270
2014,Benishangul Gumz,Total Chicks Indigenous,660112
2015,Benishangul Gumz,Total Chicks Indigenous,657037
2016,Benishangul Gumz,Total Chicks Indigenous,604334
2017,Benishangul Gumz,Total Chicks Indigenous,769698
2018,Benishangul Gumz,Total Chicks Indigenous,673615
2019,Benishangul Gumz,Total Chicks Indigenous,333575
2020,Benishangul Gumz,Total Chicks Indigenous,494273
2003,Dire Dawa,Total Chicks Indigenous,0
2004,Dire Dawa,Total Chicks Indigenous,9351
2005,Dire Dawa,Total Chicks Indigenous,9549
2006,Dire Dawa,Total Chicks Indigenous,8159
2007,Dire Dawa,Total Chicks Indigenous,10473
2008,Dire Dawa,Total Chicks Indigenous,8589
2009,Dire Dawa,Total Chicks Indigenous,9381
2010,Dire Dawa,Total Chicks Indigenous,21041
2011,Dire Dawa,Total Chicks Indigenous,16393
2012,Dire Dawa,Total Chicks Indigenous,17724
2013,Dire Dawa,Total Chicks Indigenous,17618
2014,Dire Dawa,Total Chicks Indigenous,20061
2015,Dire Dawa,Total Chicks Indigenous,16875
2016,Dire Dawa,Total Chicks Indigenous,29835
